분야,2018년,2019년,2020년,2021년,2022년
합 계,"3,985,304","3,941,881","3,453,720","3,224,341","3,723,649"
위성체 제작,"400,974","595,483","634,677","551,871","685,137"
발사체 제작,"307,694","371,738","434,044","383,346","299,611"
지상국 및 시험시설,"107,914","102,769","116,568","110,481","171,167"
발사대 및 시험시설,"81,799","72,740","97,800","68,154","54,574"
우주보험,"21,247","16,731","32,225","11,100","8,224"
우주기기제작,"919,628","1,159,461","1,315,314","1,124,952","1,218,713"
위성활용 서비스(원격탐사),"106,166","103,357","110,042","111,255","125,337"
위성방송통신,"2,495,332","2,017,677","1,444,282","1,309,259","1,659,727"
위성항법,"356,262","546,487","498,201","559,502","602,762"
지구과학,"11,681","17,673","23,658","22,155","30,980"
우주 및 행성과학,"28,516","25,801","15,476","13,972","18,604"
천문학,"27,261","26,502","32,632","47,085","34,185"
무인우주탐사,"39,547","44,654","13,824","36,002","31,506"
유인우주탐사,911,269,291,160,"1,645"
우주활용,"3,065,676","2,782,420","2,138,406","2,099,389","2,504,936"
